,price,amount
0,2615.7024,100456.59561
1,2612.9568,349330.54952
2,2615.7504,150931.52281999998
3,2616.5280000000002,125124.54940000002
4,2616.9791999999998,158291.80334
5,2616.9791999999998,118655.47254
6,2617.0944,109045.59999999999
7,2617.0944,182716.80736
8,2617.2096,182863.88950000002
9,2615.328,122593.50000000001
10,2612.8608,142566.93913
11,2610.4896000000003,201429.18450000003
12,2610.1632,205055.50856000002
13,2611.0944,119933.54955
14,2612.7744,114815.10504
15,2612.6112,108804.37059999998
16,2614.2048,249348.84471
17,2615.04,226865.616
18,2614.4832,127782.86640000001
19,2615.4336,155833.52758999998
20,2613.2064,104441.14912000002
21,2613.6767999999997,117925.83012
22,2612.5344,129334.05974999999
23,2614.0032,266938.73928000004
24,2614.2624,105787.76193000001
25,2609.9327999999996,295365.55124
26,2609.2896,131951.23147
27,2609.5391999999997,174912.51969
28,2609.2319999999995,120358.97984999999
29,2608.5696000000003,264894.80836
30,2607.9168,107750.42912
31,2607.9072,129420.11137
32,2607.2064,405290.23488
33,2607.3024,190604.66920000003
34,2607.1296,107440.89712000001
35,2607.3408,149297.4206
36,2607.3696,216034.15141000002
37,2604.624,134900.53115
38,2604.9791999999998,116803.4684
39,2605.6032,329299.38941999996
40,2605.2192,580608.3777300001
41,2605.68,136575.6315
42,2606.7264,128454.58938000002
43,2602.9536,119735.86559999999
44,2603.0496000000003,227834.62775000004
45,2602.6848,151666.03446
46,2601.2351999999996,116565.14278
47,2596.8576,101453.27530000001
48,2598.3648,162944.53926
49,2596.9536,102912.40187999999
50,2600.448,166702.2608
51,2598.0480000000002,164275.11630000002
52,2598.2592,2283875.2498399997
53,2599.3824,162279.98477
54,2597.616,131385.25259999998
55,2597.4432,201345.13872
56,2596.5119999999997,121649.29189999998
57,2597.2608,351712.4
58,2602.6656,109862.31053000002
59,2601.6096000000002,134944.94795
60,2603.9519999999998,249111.408
61,2604.2783999999997,107719.46531999999
62,2605.2288000000003,145740.84112000003
63,2605.4496,131952.45219
64,2605.3343999999997,149936.99472
65,2605.5935999999997,102527.39399999999
66,2605.6128,121880.25289999999
67,2605.6608,143447.05550000002
68,2606.1216,103224.13304
69,2605.7952,120906.18290999999
70,2606.4,131682.93
71,2607.7727999999997,125659.33536999999
72,2608.4832,181985.17792000002
73,2607.12,104531.93325
74,2607.2544,100713.34886999999
75,2608.9248000000002,329754.50657
76,2609.8848,165632.53275
77,2611.2,170261.12
78,2612.1312,124253.09504999999
79,2612.1408,105220.2966
80,2610.24,154183.614
81,2610.4127999999996,143518.3204
82,2610.5951999999997,165715.68842999998
83,2610.6048,113884.91502
84,2610.0575999999996,260481.02967
85,2610.864,116825.28540000001
86,2610.5951999999997,162615.60663
87,2610.5856,211802.79232
88,2611.2,546834.24
89,2611.6992,107670.02003999999
90,2612.7264,133559.30766
91,2612.6303999999996,132993.77332
92,2613.3696,120990.8457
93,2613.2736,107446.37735999998
94,2611.056,114410.49024999999
95,2610.1344,274034.20421
96,2610.2111999999997,134129.50907
97,2611.1711999999998,147131.33721
98,2610.9984,101192.50674000001
99,2611.104,187567.0239
100,2609.7024,182347.51832
101,2609.2896,355135.1866
102,2611.0368,166731.01866
103,2609.568,100259.05890000002
104,2609.4912,260329.36583999998
105,2606.6688,191204.58704000004
106,2607.2351999999996,188152.75772999998
107,2606.0159999999996,160378.568
108,2606.0832,221039.29008000004
109,2605.7088,414622.55568000005
110,2604.8831999999998,281921.62458
111,2605.0944,118719.03636
112,2604.96,192118.5135
113,2605.4784,290803.95791999996
114,2606.9856,228113.95561000003
115,2609.8848,119130.36660000001
116,2609.904,109406.63195000001
117,2609.8943999999997,279750.77463999996
118,2610.2304,103185.6705
119,2608.8384,378789.74798
120,2609.3183999999997,110643.25428
121,2608.9343999999996,600198.94692
122,2608.7711999999997,317669.52553
123,2609.2704,110668.39882999999
124,2607.9648,337932.47222000005
125,2607.4464000000003,326286.60779000004
126,2607.8111999999996,212006.90115
127,2607.9456,178266.66481
128,2609.5296000000003,104220.80666000002
129,2610.6048,150354.5202
130,2610.6624,164830.69728000002
131,2610.5951999999997,103444.8348
132,2608.6944,208967.291
133,2609.5103999999997,149051.97216
134,2609.6256,143572.90176
135,2609.6735999999996,185248.76786
136,2610.2976,106801.95774000001
137,2608.7999999999997,101601.89
138,2609.0303999999996,436466.32625999994
139,2609.088,183470.52460000003
140,2609.9424,109859.54421
141,2608.7135999999996,125082.3823
142,2609.4432,331945.63857
143,2608.656,351948.45465
144,2611.2672000000002,149998.26015000002
145,2611.3248,127696.50285
146,2611.5744,124281.01715
147,2614.944,101892.9273
148,2616.0,202423.90000000002
149,2617.1424,118087.64604
150,2616.2783999999997,259453.05857999998
151,2614.6367999999998,174747.61638
