,price,amount
0,2452.221,100456.59561
1,2449.647,349330.54952
2,2452.266,150931.52281999998
3,2452.9950000000003,125124.54940000002
4,2453.418,158291.80334
5,2453.418,118655.47254
6,2453.526,109045.59999999999
7,2453.526,182716.80736
8,2453.6340000000005,182863.88950000002
9,2451.8700000000003,122593.50000000001
10,2449.5570000000002,142566.93913
11,2447.3340000000003,201429.18450000003
12,2447.0280000000002,205055.50856000002
13,2447.901,119933.54955
14,2449.476,114815.10504
15,2449.323,108804.37059999998
16,2450.817,249348.84471
17,2451.6,226865.616
18,2451.078,127782.86640000001
19,2451.969,155833.52758999998
20,2449.8810000000003,104441.14912000002
21,2450.322,117925.83012
22,2449.2509999999997,129334.05974999999
23,2450.628,266938.73928000004
24,2450.871,105787.76193000001
25,2446.812,295365.55124
26,2446.2090000000003,131951.23147
27,2446.443,174912.51969
28,2446.1549999999997,120358.97984999999
29,2445.534,264894.80836
30,2444.922,107750.42912
31,2444.913,129420.11137
32,2444.2560000000003,405290.23488
33,2444.346,190604.66920000003
34,2444.184,107440.89712000001
35,2444.382,149297.4206
36,2444.409,216034.15141000002
37,2441.835,134900.53115
38,2442.168,116803.4684
39,2442.753,329299.38941999996
40,2442.393,580608.3777300001
41,2442.8250000000003,136575.6315
42,2443.806,128454.58938000002
43,2440.269,119735.86559999999
44,2440.3590000000004,227834.62775000004
45,2440.0170000000003,151666.03446
46,2438.658,116565.14278
47,2434.554,101453.27530000001
48,2435.967,162944.53926
49,2434.644,102912.40187999999
50,2437.92,166702.2608
51,2435.67,164275.11630000002
52,2435.868,2283875.2498399997
53,2436.9210000000003,162279.98477
54,2435.265,131385.25259999998
55,2435.103,201345.13872
56,2434.23,121649.29189999998
57,2434.9320000000002,351712.4
58,2439.9990000000003,109862.31053000002
59,2439.0090000000005,134944.94795
60,2441.205,249111.408
61,2441.511,107719.46531999999
62,2442.402,145740.84112000003
63,2442.6090000000004,131952.45219
64,2442.5009999999997,149936.99472
65,2442.744,102527.39399999999
66,2442.7619999999997,121880.25289999999
67,2442.8070000000002,143447.05550000002
68,2443.239,103224.13304
69,2442.933,120906.18290999999
70,2443.5,131682.93
71,2444.787,125659.33536999999
72,2445.453,181985.17792000002
73,2444.175,104531.93325
74,2444.301,100713.34886999999
75,2445.867,329754.50657
76,2446.7670000000003,165632.53275
77,2448.0,170261.12
78,2448.873,124253.09504999999
79,2448.882,105220.2966
80,2447.1,154183.614
81,2447.2619999999997,143518.3204
82,2447.433,165715.68842999998
83,2447.442,113884.91502
84,2446.929,260481.02967
85,2447.685,116825.28540000001
86,2447.433,162615.60663
87,2447.424,211802.79232
88,2448.0,546834.24
89,2448.468,107670.02003999999
90,2449.431,133559.30766
91,2449.341,132993.77332
92,2450.034,120990.8457
93,2449.944,107446.37735999998
94,2447.865,114410.49024999999
95,2447.0009999999997,274034.20421
96,2447.073,134129.50907
97,2447.973,147131.33721
98,2447.811,101192.50674000001
99,2447.9100000000003,187567.0239
100,2446.596,182347.51832
101,2446.2090000000003,355135.1866
102,2447.847,166731.01866
103,2446.4700000000003,100259.05890000002
104,2446.3979999999997,260329.36583999998
105,2443.7520000000004,191204.58704000004
106,2444.283,188152.75772999998
107,2443.14,160378.568
108,2443.203,221039.29008000004
109,2442.8520000000003,414622.55568000005
110,2442.078,281921.62458
111,2442.276,118719.03636
112,2442.15,192118.5135
113,2442.636,290803.95791999996
114,2444.049,228113.95561000003
115,2446.7670000000003,119130.36660000001
116,2446.7850000000003,109406.63195000001
117,2446.776,279750.77463999996
118,2447.091,103185.6705
119,2445.786,378789.74798
120,2446.236,110643.25428
121,2445.8759999999997,600198.94692
122,2445.723,317669.52553
123,2446.191,110668.39882999999
124,2444.967,337932.47222000005
125,2444.481,326286.60779000004
126,2444.823,212006.90115
127,2444.949,178266.66481
128,2446.434,104220.80666000002
129,2447.442,150354.5202
130,2447.496,164830.69728000002
131,2447.433,103444.8348
132,2445.651,208967.291
133,2446.4159999999997,149051.97216
134,2446.5240000000003,143572.90176
135,2446.569,185248.76786
136,2447.154,106801.95774000001
137,2445.75,101601.89
138,2445.966,436466.32625999994
139,2446.0200000000004,183470.52460000003
140,2446.821,109859.54421
141,2445.669,125082.3823
142,2446.353,331945.63857
143,2445.615,351948.45465
144,2448.063,149998.26015000002
145,2448.117,127696.50285
146,2448.351,124281.01715
147,2451.51,101892.9273
148,2452.5,202423.90000000002
149,2453.571,118087.64604
150,2452.761,259453.05857999998
151,2451.222,174747.61638
152,2447.5860000000002,190770.29192
153,2446.4610000000002,2501471.03473
154,2447.073,161843.97027999998
155,2446.596,110751.96404
156,2446.2090000000003,128730.38962000002
157,2445.597,101340.10501999999
158,2448.0,116475.84000000001
159,2446.8030000000003,290750.88182
160,2449.188,151000.60416000002
161,2450.151,129716.43872
162,2451.222,137630.66814
163,2453.2920000000004,102321.35756
164,2453.787,101853.97193999999
165,2453.841,262083.85124999998
166,2453.6340000000005,110770.67006
167,2454.543,241017.03171
168,2455.191,177185.67848999996
169,2453.742,136319.0
170,2454.183,428549.43545999995
171,2454.597,108228.63639
172,2455.533,102644.00777
173,2454.192,172368.81168
174,2454.498,113703.25623999999
175,2453.8770000000004,107613.41257000001
176,2454.462,296828.99837999995
177,2455.533,100575.90331
178,2456.1,806940.739
179,2455.659,266870.10608000006
180,2455.668,112406.83844
181,2454.3810000000003,140205.15108
182,2453.931,274071.37362
183,2452.104,113175.49784
184,2454.048,103203.62527999998
185,2453.697,158947.76533
186,2453.994,115438.60442
187,2454.192,168962.93856
188,2453.8950000000004,227252.48940000002
189,2455.2090000000003,106165.96517000001
190,2454.813,262127.65971
191,2453.742,285953.63992
192,2454.777,108203.84263
193,2456.577,107027.60083000001
194,2457.0,873761.0700000001
195,2457.891,114073.4523
196,2459.835,119725.63575
197,2458.503,112309.88038
198,2457.4590000000003,145547.10504000002
199,2456.136,158881.97976
200,2454.3630000000003,143929.30046
201,2453.769,205748.53065
202,2453.8590000000004,113709.09955
203,2453.8590000000004,248327.80429
204,2454.201,292851.62466
205,2454.6780000000003,163675.20162
206,2454.633,124613.53529999999
207,2454.435,136564.7634
208,2456.5860000000002,240275.94712000003
209,2455.983,115144.66965
210,2456.1090000000004,178048.79943
211,2456.136,101965.12152
212,2455.929,267712.63386
213,2455.578,1871704.30526
214,2452.86,209754.9602
