,price,amount
0,2752.1389,129157.06111
1,2751.2299,154055.25444999998
2,2749.7755,100241.56845000002
3,2749.22,109152.2
4,2753.5428,140891.42412
5,2753.5327,209031.29971
6,2752.0682,329877.60848
7,2752.0884,107135.25912
8,2752.0884,168713.91828
9,2750.9168,129295.81327999999
10,2749.22,113444.794
11,2747.0687,309575.60339999996
12,2748.4523999999997,117745.33355999998
13,2748.4423,248129.91509000002
14,2749.1392,110477.28896
15,2751.2299,146588.79786
16,2751.4723,474680.73212
17,2751.7248,128080.52928
18,2749.8462,132126.02598
19,2748.8867,107002.45605
20,2748.3716,146858.28404
21,2747.6747,171936.42447
22,2749.22,2478783.856
23,2750.5734,166515.90096
24,2749.7957,110389.32322
25,2748.4827,152233.28634
26,2745.3214,159546.66358
27,2743.16,241528.448
28,2742.15,153823.755
29,2742.15,220224.51
30,2741.5137,139382.8995
31,2743.8771,141613.94217
32,2743.1499,137782.17269999997
33,2740.5036999999998,152762.731
34,2740.6148,110509.18648
35,2742.7156,225060.18168
36,2740.1098,153744.5766
37,2740.7562,103177.25963999999
38,2738.5847,198265.39787
39,2738.11,541573.759
40,2739.6957,103433.00667
41,2739.4735,600093.87575
42,2738.6554,167291.17184
43,2738.7765999999997,122027.41165999998
44,2738.7968,183190.25407999998
45,2738.4836999999998,101025.64619999999
46,2737.7969000000003,222585.59866000002
47,2737.3019999999997,136526.32499999998
48,2737.1,139039.25999999998
49,2737.1,446635.10000000003
50,2736.5040999999997,136565.10164
51,2736.2617,181313.91142000002
52,2734.7063000000003,157876.49004
53,2734.6861000000004,161354.60273
54,2734.9184,136596.98880000002
55,2733.06,148321.272
56,2732.05,225266.99000000002
57,2730.3128,215281.10936000003
58,2729.8886,121063.80226
59,2731.6056,109650.97608
60,2732.757,231169.5966
61,2732.7974,125776.32389999999
62,2734.8376000000003,203082.00000000003
63,2733.565,114276.5495
64,2732.05,125206.33499999999
65,2732.3934000000004,170563.57098
66,2733.565,151093.069
67,2735.1507,136814.40447
68,2734.3225,291289.271
69,2734.878,257655.29340000002
70,2733.2418,117975.91709999999
71,2733.161,208583.48189999998
72,2732.05,242514.06999999998
73,2732.757,102502.73879999999
74,2732.05,113050.065
75,2732.9085,201685.94145
76,2732.05,279256.08499999996
77,2732.1207000000004,218456.04306
78,2733.0297,100540.31534999999
79,2736.1708,190063.63464
80,2737.8979,224597.08386999997
81,2739.8673999999996,118259.18755999999
82,2739.2917,116246.31837
83,2739.0695,136573.802
84,2737.1,242596.49000000002
85,2739.3826000000004,119987.67014
86,2740.13,286921.45399999997
87,2741.3016,159782.5992
88,2740.13,105280.678
89,2744.0488,126036.0632
90,2739.6856,116669.91816
91,2740.4936000000002,126987.96136000002
92,2740.4936000000002,147734.31192
93,2742.0591,123243.33945
94,2742.8772,106874.44488
95,2741.7864,146262.08855999997
96,2741.7763,113039.90783
97,2741.9076000000005,101434.29264
98,2741.9076000000005,131741.87328
99,2742.0995,115621.57565
100,2741.0289,115381.03335
101,2741.4733,189538.94956999997
102,2745.1396,129562.43523999999
103,2745.8062,102693.15188
104,2747.4121,1337358.60398
105,2746.5636999999997,101742.50918
106,2748.8564,100801.38067999999
107,2749.22,449151.776
108,2749.1998,386676.31285999995
109,2747.3817999999997,103320.59693999999
110,2746.9879,297496.06978
111,2745.3517,108261.99293000001
112,2745.2103,164427.22485
113,2747.6544999999996,149369.02769999998
114,2747.6544999999996,153259.2712
115,2744.8467,103687.26351
116,2744.7961999999998,786052.56166
117,2744.7961999999998,512687.16585999995
118,2743.6953000000003,103627.46991
119,2742.0288,112295.58144000001
120,2741.5440000000003,156254.436
121,2741.1804,112179.41532
122,2741.9581,247047.71
123,2740.5542,116633.64528000001
124,2741.6349,104784.74297999998
125,2740.6249,100854.99631999999
126,2746.2001,149436.78960000002
127,2745.8062,201512.27026
128,2745.18,1236222.504
129,2744.7961999999998,259722.94339999996
130,2745.1901000000003,126452.69724000001
131,2744.9982,149270.82786000002
132,2744.4023,127057.6748
133,2745.7658,245775.94348000002
134,2753.6438000000003,101102.34954
135,2747.5131,108842.32341000001
136,2747.2606,154439.56668
137,2746.8869,131858.73027
138,2746.6647,115969.07867999999
139,2744.9881,152523.49719999998
140,2745.7658,144650.20463999998
141,2746.1798999999996,133681.86234
142,2746.3819,103397.19975
143,2746.2405000000003,169491.98175
144,2747.9373,100471.11743999999
145,2747.9676000000004,132813.8994
146,2749.7149,203860.05119999996
147,2753.9771,141679.8516
148,2754.1387,103888.29325999999
149,2755.0477,136156.63955
150,2755.2699,259159.05
151,2753.9569,191271.85012
152,2753.058,168198.21480000002
153,2752.7045,358385.7732
154,2753.3509000000004,223313.11453000002
155,2753.26,252018.7
156,2753.8155,119534.67855000001
157,2754.5427,119708.06211
158,2754.6437,120697.03197999999
159,2756.4213,152520.15918000002
160,2755.8658,389062.76503999997
161,2754.9871000000003,170765.55684
162,2754.9871000000003,324815.7068
163,2754.8356,122415.62036
164,2758.5119999999997,145968.984
165,2758.4312,178104.52855999998
166,2758.2797,142319.03960999998
167,2756.4516,127146.10608
168,2756.4011,100071.00548
169,2758.3302,125465.78982
170,2758.9665,184014.87060000002
171,2758.3403000000003,125580.95249
172,2757.9262,123022.62285999999
173,2757.8757,112655.12649
174,2757.2192,121172.95904
175,2756.7848999999997,120272.24736
176,2758.3504,158359.35439999998
177,2757.9867999999997,134969.32035999998
178,2755.9062,106481.66688
179,2754.3811,133625.66289
180,2754.1892000000003,141022.66780000002
181,2757.7949,110279.03011999998
182,2756.0981,229760.34437999997
183,2756.6637,100940.29070999999
184,2756.7445,112401.48044999999
185,2756.7445,190643.89414999998
186,2756.8354,117574.9355
187,2756.1284,136442.0
188,2756.1284,156755.48496
189,2755.28,109106.35999999999
190,2753.4317,148071.92355
191,2752.5328000000004,236840.45840000003
192,2753.4923,158342.16463
193,2753.9569,117847.5418
194,2752.2601000000004,231181.67337000003
195,2751.4521,138700.42794
196,2749.9471999999996,145104.63968
197,2749.22,150986.61800000002
198,2750.3512,300392.81344
199,2750.0179,106422.96994
200,2749.7755,114355.26765000001
201,2748.21,108344.77799999999
202,2748.1998999999996,142481.92036
203,2748.1998999999996,184529.37882999997
204,2747.8161,125384.75307000002
205,2747.7151000000003,205382.18194
206,2747.5737,154187.85123
207,2748.2201000000005,131324.10563
208,2748.2907999999998,111104.41748
209,2747.503,101994.92820000001
210,2748.3817,206215.70494
211,2747.0586000000003,100904.08614
212,2749.8361,123061.97200000001
213,2749.8361,132057.47544
214,2753.5529,171682.66017
215,2754.2599,164249.33469
216,2753.26,104438.51199999999
217,2753.3711000000003,181597.09154000002
218,2755.3608,256625.02943999998
219,2754.9265,151744.6248
220,2758.2696,151475.42736
221,2756.1688,109900.18424000002
222,2755.9769,102396.82094
223,2756.0173,150609.52362000002
224,2755.28,189004.024
225,2755.8153,105045.67647000002
226,2754.5023,101341.13957
227,2754.7245,100582.90109999999
228,2754.9467,159666.89112000001
229,2754.7245,199251.1323
230,2754.27,183006.243
231,2756.6536,217136.96416
232,2758.2999,182094.22023
233,2758.1484,110077.42956
234,2759.2493,359653.12064
235,2759.5018,257625.44874
236,2759.3604,295008.41124
237,2759.8149,109299.59999999999
238,2759.8553,127939.78713
239,2759.9058,683661.45762
240,2759.6028,142840.86612000002
241,2763.8953,100036.59068
242,2763.0873,104291.49906
243,2764.9255000000003,106690.53615
244,2765.2284999999997,129524.94565
245,2764.7639,122287.42347
246,2763.9357,124669.91949000001
247,2763.9054,386024.54201999994
248,2764.0569,142411.87422
249,2763.9155,182385.5844
250,2764.067,287353.5
251,2764.067,410868.9811
252,2763.9054,479340.55602
253,2763.9054,158046.13116
254,2763.9054,328948.52724
255,2763.36,607189.536
256,2763.36,309012.048
257,2763.057,120496.64219999999
258,2763.0166,141969.81136
259,2763.0166,967698.6901
260,2763.5822,100649.11648
261,2763.0267,405855.79419
262,2762.35,100024.42000000001
263,2761.9561000000003,116721.35863
264,2761.7642,118887.11276
265,2761.5723000000003,259751.85
266,2761.542,124772.4828
267,2761.2491,138505.34842
268,2761.2693,173711.17827
269,2761.2592,225769.84752
270,2761.239,188663.70510000002
271,2761.1784000000002,206489.66904000004
272,2760.4714,143962.68322
273,2759.7745,126006.93175
274,2759.4816,260784.672
275,2759.8149,251211.46815
276,2759.3402,150045.27042
277,2758.4716,124803.08735999999
278,2758.4312,187737.18879999997
279,2758.3605000000002,187377.34050000002
280,2758.1383,122335.72234000001
281,2758.5625,129029.7125
282,2758.2292,273092.0
283,2758.2392999999997,194485.91087999998
284,2758.5625,103290.41249999999
285,2758.2392999999997,362296.09751999995
286,2757.7242,211886.05284000002
287,2757.3,129399.27
288,2757.3,224236.74000000002
289,2756.088,255060.93600000002
290,2756.6839,372392.51281999995
291,2755.8355,141175.17700000003
292,2755.8355,164774.40595000001
293,2756.2698,137458.7226
294,2756.1991,184588.93021999998
295,2755.9264,127853.15583999999
296,2755.785,166370.2875
297,2755.179,107083.71450000002
298,2755.2295,109090.7205
299,2755.28,224948.152
300,2754.27,101406.222
301,2753.9367,124892.39268
302,2753.8761,254929.85517000002
303,2753.26,170285.042
304,2752.25,215027.02500000002
305,2751.9773,183695.84714000003
306,2751.5329,177972.41712
307,2751.2299,101839.09014
308,2751.6137,111508.4641
309,2751.7551000000003,206635.01193000004
310,2754.9871000000003,100813.43389000001
311,2754.3205000000003,134083.5944
312,2751.9369,221724.37344000002
313,2752.25,123903.02500000001
314,2751.6036000000004,129834.82452
315,2751.6036000000004,272441.44872
316,2754.0478000000003,201751.72542000003
317,2755.5527,109807.41096
318,2752.25,143245.075
319,2751.6238000000003,224412.62936000002
320,2750.9168,116301.136
321,2750.735,148300.022
322,2750.1492000000003,111089.69016000001
323,2750.0482,133140.45236000002
324,2749.7553000000003,107161.50333
325,2750.6744,125882.84368
326,2751.1996,122352.11132000001
327,2750.6643,207770.4747
328,2750.1694,123852.9259
329,2750.2198999999996,259549.96081999998
330,2751.4723,219910.74252
331,2751.2400000000002,127218.97200000001
332,2752.3813,162308.7428
333,2750.0987,136143.5
334,2751.2097,311880.94515
335,2756.29,148626.798
336,2756.29,117338.813
337,2756.29,392389.265
338,2756.29,1983513.612
339,2756.29,172437.323
340,2756.29,144593.336
341,2756.29,125749.591
342,2756.29,486804.478
343,2756.29,206558.00999999998
344,2756.29,782202.3539999999
345,2756.29,162438.26700000002
346,2756.29,115502.196
347,2756.29,743698.893
