,price,amount
0,2997.379,129157.06111
1,2996.389,154055.25444999998
2,2994.8050000000003,100241.56845000002
3,2994.2000000000003,109152.2
4,2998.9080000000004,140891.42412
5,2998.8970000000004,209031.29971
6,2997.3020000000006,329877.60848
7,2997.3240000000005,107135.25912
8,2997.3240000000005,168713.91828
9,2996.0480000000002,129295.81327999999
10,2994.2000000000003,113444.794
11,2991.857,309575.60339999996
12,2993.364,117745.33355999998
13,2993.353,248129.91509000002
14,2994.1120000000005,110477.28896
15,2996.389,146588.79786
16,2996.6530000000002,474680.73212
17,2996.9280000000003,128080.52928
18,2994.882,132126.02598
19,2993.8370000000004,107002.45605
20,2993.2760000000003,146858.28404
21,2992.517,171936.42447
22,2994.2000000000003,2478783.856
23,2995.6740000000004,166515.90096
24,2994.827,110389.32322
25,2993.3970000000004,152233.28634
26,2989.954,159546.66358
27,2987.6000000000004,241528.448
28,2986.5000000000005,153823.755
29,2986.5000000000005,220224.51
30,2985.8070000000002,139382.8995
31,2988.3810000000003,141613.94217
32,2987.589,137782.17269999997
33,2984.7070000000003,152762.731
34,2984.8280000000004,110509.18648
35,2987.116,225060.18168
36,2984.2780000000002,153744.5766
37,2984.982,103177.25963999999
38,2982.617,198265.39787
39,2982.1000000000004,541573.759
40,2983.827,103433.00667
41,2983.585,600093.87575
42,2982.6940000000004,167291.17184
43,2982.826,122027.41165999998
44,2982.848,183190.25407999998
45,2982.507,101025.64619999999
46,2981.7590000000005,222585.59866000002
47,2981.2200000000003,136526.32499999998
48,2981.0000000000005,139039.25999999998
49,2981.0000000000005,446635.10000000003
50,2980.351,136565.10164
51,2980.0870000000004,181313.91142000002
52,2978.3930000000005,157876.49004
53,2978.3710000000005,161354.60273
54,2978.6240000000003,136596.98880000002
55,2976.6000000000004,148321.272
56,2975.5000000000005,225266.99000000002
57,2973.6080000000006,215281.10936000003
58,2973.146,121063.80226
59,2975.016,109650.97608
60,2976.27,231169.5966
61,2976.314,125776.32389999999
62,2978.5360000000005,203082.00000000003
63,2977.15,114276.5495
64,2975.5000000000005,125206.33499999999
65,2975.8740000000003,170563.57098
66,2977.15,151093.069
67,2978.8770000000004,136814.40447
68,2977.9750000000004,291289.271
69,2978.5800000000004,257655.29340000002
70,2976.7980000000002,117975.91709999999
71,2976.71,208583.48189999998
72,2975.5000000000005,242514.06999999998
73,2976.27,102502.73879999999
74,2975.5000000000005,113050.065
75,2976.435,201685.94145
76,2975.5000000000005,279256.08499999996
77,2975.577,218456.04306
78,2976.567,100540.31534999999
79,2979.9880000000003,190063.63464
80,2981.869,224597.08386999997
81,2984.014,118259.18755999999
82,2983.387,116246.31837
83,2983.145,136573.802
84,2981.0000000000005,242596.49000000002
85,2983.4860000000003,119987.67014
86,2984.3,286921.45399999997
87,2985.576,159782.5992
88,2984.3,105280.678
89,2988.568,126036.0632
90,2983.8160000000003,116669.91816
91,2984.6960000000004,126987.96136000002
92,2984.6960000000004,147734.31192
93,2986.4010000000003,123243.33945
94,2987.292,106874.44488
95,2986.1040000000003,146262.08855999997
96,2986.0930000000003,113039.90783
97,2986.2360000000003,101434.29264
98,2986.2360000000003,131741.87328
99,2986.445,115621.57565
100,2985.279,115381.03335
101,2985.7630000000004,189538.94956999997
102,2989.7560000000003,129562.43523999999
103,2990.482,102693.15188
104,2992.231,1337358.60398
105,2991.3070000000002,101742.50918
106,2993.804,100801.38067999999
107,2994.2000000000003,449151.776
108,2994.1780000000003,386676.31285999995
109,2992.198,103320.59693999999
110,2991.7690000000002,297496.06978
111,2989.9870000000005,108261.99293000001
112,2989.8330000000005,164427.22485
113,2992.495,149369.02769999998
114,2992.495,153259.2712
115,2989.4370000000004,103687.26351
116,2989.382,786052.56166
117,2989.382,512687.16585999995
118,2988.1830000000004,103627.46991
119,2986.3680000000004,112295.58144000001
120,2985.84,156254.436
121,2985.4440000000004,112179.41532
122,2986.291,247047.71
123,2984.762,116633.64528000001
124,2985.939,104784.74297999998
125,2984.839,100854.99631999999
126,2990.9110000000005,149436.78960000002
127,2990.482,201512.27026
128,2989.8,1236222.504
129,2989.382,259722.94339999996
130,2989.8110000000006,126452.69724000001
131,2989.6020000000003,149270.82786000002
132,2988.9530000000004,127057.6748
133,2990.438,245775.94348000002
134,2999.0180000000005,101102.34954
135,2992.3410000000003,108842.32341000001
136,2992.0660000000003,154439.56668
137,2991.659,131858.73027
138,2991.417,115969.07867999999
139,2989.5910000000003,152523.49719999998
140,2990.438,144650.20463999998
141,2990.889,133681.86234
142,2991.1090000000004,103397.19975
143,2990.9550000000004,169491.98175
144,2992.8030000000003,100471.11743999999
145,2992.8360000000007,132813.8994
146,2994.739,203860.05119999996
147,2999.3810000000003,141679.8516
148,2999.5570000000002,103888.29325999999
149,3000.547,136156.63955
150,3000.789,259159.05
151,2999.3590000000004,191271.85012
152,2998.3800000000006,168198.21480000002
153,2997.995,358385.7732
154,2998.6990000000005,223313.11453000002
155,2998.6000000000004,252018.7
156,2999.2050000000004,119534.67855000001
157,2999.9970000000003,119708.06211
158,3000.107,120697.03197999999
159,3002.0430000000006,152520.15918000002
160,3001.438,389062.76503999997
161,3000.481,170765.55684
162,3000.481,324815.7068
163,3000.3160000000003,122415.62036
164,3004.32,145968.984
165,3004.232,178104.52855999998
166,3004.067,142319.03960999998
167,3002.076,127146.10608
168,3002.021,100071.00548
169,3004.1220000000003,125465.78982
170,3004.8150000000005,184014.87060000002
171,3004.1330000000003,125580.95249
172,3003.6820000000002,123022.62285999999
173,3003.6270000000004,112655.12649
174,3002.9120000000003,121172.95904
175,3002.439,120272.24736
176,3004.1440000000002,158359.35439999998
177,3003.748,134969.32035999998
178,3001.482,106481.66688
179,2999.8210000000004,133625.66289
180,2999.6120000000005,141022.66780000002
181,3003.539,110279.03011999998
182,3001.6910000000003,229760.34437999997
183,3002.3070000000002,100940.29070999999
184,3002.395,112401.48044999999
185,3002.395,190643.89414999998
186,3002.494,117574.9355
187,3001.7240000000006,136442.0
188,3001.7240000000006,156755.48496
189,3000.8,109106.35999999999
190,2998.7870000000003,148071.92355
191,2997.8080000000004,236840.45840000003
192,2998.853,158342.16463
193,2999.3590000000004,117847.5418
194,2997.5110000000004,231181.67337000003
195,2996.6310000000003,138700.42794
196,2994.992,145104.63968
197,2994.2000000000003,150986.61800000002
198,2995.4320000000002,300392.81344
199,2995.0690000000004,106422.96994
200,2994.8050000000003,114355.26765000001
201,2993.1000000000004,108344.77799999999
202,2993.089,142481.92036
203,2993.089,184529.37882999997
204,2992.6710000000003,125384.75307000002
205,2992.5610000000006,205382.18194
206,2992.407,154187.85123
207,2993.1110000000003,131324.10563
208,2993.188,111104.41748
209,2992.3300000000004,101994.92820000001
210,2993.2870000000003,206215.70494
211,2991.8460000000005,100904.08614
212,2994.8710000000005,123061.97200000001
213,2994.8710000000005,132057.47544
214,2998.9190000000003,171682.66017
215,2999.689,164249.33469
216,2998.6000000000004,104438.51199999999
217,2998.7210000000005,181597.09154000002
218,3000.8880000000004,256625.02943999998
219,3000.4150000000004,151744.6248
220,3004.0560000000005,151475.42736
221,3001.7680000000005,109900.18424000002
222,3001.559,102396.82094
223,3001.603,150609.52362000002
224,3000.8,189004.024
225,3001.3830000000003,105045.67647000002
226,2999.9530000000004,101341.13957
227,3000.195,100582.90109999999
228,3000.4370000000004,159666.89112000001
229,3000.195,199251.1323
230,2999.7000000000003,183006.243
231,3002.2960000000003,217136.96416
232,3004.089,182094.22023
233,3003.9240000000004,110077.42956
234,3005.123,359653.12064
235,3005.398,257625.44874
236,3005.244,295008.41124
237,3005.739,109299.59999999999
238,3005.7830000000004,127939.78713
239,3005.838,683661.45762
240,3005.5080000000003,142840.86612000002
241,3010.1830000000004,100036.59068
242,3009.3030000000003,104291.49906
243,3011.3050000000003,106690.53615
244,3011.635,129524.94565
245,3011.129,122287.42347
246,3010.2270000000003,124669.91949000001
247,3010.1940000000004,386024.54201999994
248,3010.3590000000004,142411.87422
249,3010.2050000000004,182385.5844
250,3010.37,287353.5
251,3010.37,410868.9811
252,3010.1940000000004,479340.55602
253,3010.1940000000004,158046.13116
254,3010.1940000000004,328948.52724
255,3009.6000000000004,607189.536
256,3009.6000000000004,309012.048
257,3009.27,120496.64219999999
258,3009.226,141969.81136
259,3009.226,967698.6901
260,3009.842,100649.11648
261,3009.2370000000005,405855.79419
262,3008.5000000000005,100024.42000000001
263,3008.0710000000004,116721.35863
264,3007.8620000000005,118887.11276
265,3007.6530000000002,259751.85
266,3007.62,124772.4828
267,3007.301,138505.34842
268,3007.323,173711.17827
269,3007.3120000000004,225769.84752
270,3007.2900000000004,188663.70510000002
271,3007.2240000000006,206489.66904000004
272,3006.454,143962.68322
273,3005.695,126006.93175
274,3005.376,260784.672
275,3005.739,251211.46815
276,3005.222,150045.27042
277,3004.2760000000003,124803.08735999999
278,3004.232,187737.18879999997
279,3004.1550000000007,187377.34050000002
280,3003.913,122335.72234000001
281,3004.3750000000005,129029.7125
282,3004.012,273092.0
283,3004.023,194485.91087999998
284,3004.3750000000005,103290.41249999999
285,3004.023,362296.09751999995
286,3003.4620000000004,211886.05284000002
287,3003.0000000000005,129399.27
288,3003.0000000000005,224236.74000000002
289,3001.6800000000003,255060.93600000002
