,price,amount
0,2779.3878,129157.06111
1,2778.4698,154055.25444999998
2,2777.001,100241.56845000002
3,2776.44,109152.2
4,2780.8056,140891.42412
5,2780.7954,209031.29971
6,2779.3164,329877.60848
7,2779.3368,107135.25912
8,2779.3368,168713.91828
9,2778.1536,129295.81327999999
10,2776.44,113444.794
11,2774.2673999999997,309575.60339999996
12,2775.6648,117745.33355999998
13,2775.6546,248129.91509000002
14,2776.3584,110477.28896
15,2778.4698,146588.79786
16,2778.7146000000002,474680.73212
17,2778.9696,128080.52928
18,2777.0724,132126.02598
19,2776.1034,107002.45605
20,2775.5832,146858.28404
21,2774.8794,171936.42447
22,2776.44,2478783.856
23,2777.8068000000003,166515.90096
24,2777.0214,110389.32322
25,2775.6954,152233.28634
26,2772.5027999999998,159546.66358
27,2770.32,241528.448
28,2769.3,153823.755
29,2769.3,220224.51
30,2768.6574,139382.8995
31,2771.0442000000003,141613.94217
32,2770.3098,137782.17269999997
33,2767.6374,152762.731
34,2767.7496,110509.18648
35,2769.8712,225060.18168
36,2767.2396,153744.5766
37,2767.8923999999997,103177.25963999999
38,2765.6994,198265.39787
39,2765.2200000000003,541573.759
40,2766.8214000000003,103433.00667
41,2766.5969999999998,600093.87575
42,2765.7708000000002,167291.17184
43,2765.8932,122027.41165999998
44,2765.9136,183190.25407999998
45,2765.5974,101025.64619999999
46,2764.9038,222585.59866000002
47,2764.404,136526.32499999998
48,2764.2000000000003,139039.25999999998
49,2764.2000000000003,446635.10000000003
50,2763.5982,136565.10164
51,2763.3534,181313.91142000002
52,2761.7826,157876.49004
53,2761.7622,161354.60273
54,2761.9968000000003,136596.98880000002
55,2760.12,148321.272
56,2759.1,225266.99000000002
57,2757.3456,215281.10936000003
58,2756.9172000000003,121063.80226
59,2758.6512,109650.97608
60,2759.814,231169.5966
61,2759.8547999999996,125776.32389999999
62,2761.9152000000004,203082.00000000003
63,2760.63,114276.5495
64,2759.1,125206.33499999999
65,2759.4468,170563.57098
66,2760.63,151093.069
67,2762.2314,136814.40447
68,2761.395,291289.271
69,2761.956,257655.29340000002
70,2760.3035999999997,117975.91709999999
71,2760.2219999999998,208583.48189999998
72,2759.1,242514.06999999998
73,2759.814,102502.73879999999
74,2759.1,113050.065
75,2759.967,201685.94145
76,2759.1,279256.08499999996
77,2759.1714,218456.04306
78,2760.0894,100540.31534999999
79,2763.2616,190063.63464
80,2765.0058,224597.08386999997
81,2766.9948,118259.18755999999
82,2766.4134,116246.31837
83,2766.189,136573.802
84,2764.2000000000003,242596.49000000002
85,2766.5052,119987.67014
86,2767.26,286921.45399999997
87,2768.4431999999997,159782.5992
88,2767.26,105280.678
89,2771.2176,126036.0632
90,2766.8112,116669.91816
91,2767.6272000000004,126987.96136000002
92,2767.6272000000004,147734.31192
93,2769.2082,123243.33945
94,2770.0344,106874.44488
95,2768.9328,146262.08855999997
96,2768.9226000000003,113039.90783
97,2769.0552000000002,101434.29264
98,2769.0552000000002,131741.87328
99,2769.249,115621.57565
100,2768.1677999999997,115381.03335
101,2768.6166,189538.94956999997
102,2772.3192,129562.43523999999
103,2772.9924,102693.15188
104,2774.6142,1337358.60398
105,2773.7574,101742.50918
106,2776.0728,100801.38067999999
107,2776.44,449151.776
108,2776.4196,386676.31285999995
109,2774.5836,103320.59693999999
110,2774.1858,297496.06978
111,2772.5334000000003,108261.99293000001
112,2772.3906,164427.22485
113,2774.859,149369.02769999998
114,2774.859,153259.2712
115,2772.0234,103687.26351
116,2771.9724,786052.56166
117,2771.9724,512687.16585999995
118,2770.8606000000004,103627.46991
