,price,amount
0,2697.4431,100456.59561
1,2694.6117,349330.54952
2,2697.4925999999996,150931.52281999998
3,2698.2945,125124.54940000002
4,2698.7598,158291.80334
5,2698.7598,118655.47254
6,2698.8786,109045.59999999999
7,2698.8786,182716.80736
8,2698.9974,182863.88950000002
9,2697.0570000000002,122593.50000000001
10,2694.5126999999998,142566.93913
11,2692.0674000000004,201429.18450000003
12,2691.7308000000003,205055.50856000002
13,2692.6911,119933.54955
14,2694.4235999999996,114815.10504
15,2694.2553,108804.37059999998
16,2695.8987,249348.84471
17,2696.7599999999998,226865.616
18,2696.1858,127782.86640000001
19,2697.1659,155833.52758999998
20,2694.8691000000003,104441.14912000002
21,2695.3541999999998,117925.83012
22,2694.1760999999997,129334.05974999999
23,2695.6908,266938.73928000004
24,2695.9581,105787.76193000001
25,2691.4932,295365.55124
26,2690.8299,131951.23147
27,2691.0873,174912.51969
28,2690.7704999999996,120358.97984999999
29,2690.0874000000003,264894.80836
30,2689.4141999999997,107750.42912
31,2689.4043,129420.11137
32,2688.6816000000003,405290.23488
33,2688.7806,190604.66920000003
34,2688.6024,107440.89712000001
35,2688.8202,149297.4206
36,2688.8499,216034.15141000002
37,2686.0185,134900.53115
38,2686.3848,116803.4684
39,2687.0283,329299.38941999996
40,2686.6322999999998,580608.3777300001
41,2687.1075,136575.6315
42,2688.1866,128454.58938000002
43,2684.2958999999996,119735.86559999999
44,2684.3949000000002,227834.62775000004
45,2684.0187,151666.03446
46,2682.5238,116565.14278
47,2678.0094,101453.27530000001
48,2679.5637,162944.53926
49,2678.1083999999996,102912.40187999999
50,2681.712,166702.2608
51,2679.237,164275.11630000002
52,2679.4548,2283875.2498399997
53,2680.6131,162279.98477
54,2678.7915,131385.25259999998
55,2678.6133,201345.13872
56,2677.653,121649.29189999998
57,2678.4252,351712.4
58,2683.9989,109862.31053000002
59,2682.9099,134944.94795
60,2685.3255,249111.408
61,2685.6621,107719.46531999999
62,2686.6422000000002,145740.84112000003
63,2686.8699,131952.45219
64,2686.7511,149936.99472
65,2687.0184,102527.39399999999
66,2687.0382,121880.25289999999
67,2687.0877,143447.05550000002
68,2687.5629,103224.13304
69,2687.2263,120906.18290999999
70,2687.85,131682.93
71,2689.2657,125659.33536999999
72,2689.9983,181985.17792000002
73,2688.5925,104531.93325
74,2688.7311,100713.34886999999
75,2690.4537,329754.50657
76,2691.4437000000003,165632.53275
77,2692.8,170261.12
78,2693.7603,124253.09504999999
79,2693.7702,105220.2966
80,2691.81,154183.614
81,2691.9882,143518.3204
82,2692.1763,165715.68842999998
83,2692.1862,113884.91502
84,2691.6219,260481.02967
85,2692.4535,116825.28540000001
86,2692.1763,162615.60663
87,2692.1664,211802.79232
88,2692.8,546834.24
89,2693.3148,107670.02003999999
90,2694.3741,133559.30766
91,2694.2751,132993.77332
92,2695.0374,120990.8457
93,2694.9384,107446.37735999998
94,2692.6515,114410.49024999999
95,2691.7010999999998,274034.20421
96,2691.7803,134129.50907
97,2692.7702999999997,147131.33721
98,2692.5921,101192.50674000001
99,2692.701,187567.0239
100,2691.2556,182347.51832
101,2690.8299,355135.1866
102,2692.6317,166731.01866
103,2691.117,100259.05890000002
104,2691.0377999999996,260329.36583999998
105,2688.1272000000004,191204.58704000004
106,2688.7113,188152.75772999998
107,2687.4539999999997,160378.568
108,2687.5233,221039.29008000004
109,2687.1372,414622.55568000005
110,2686.2858,281921.62458
111,2686.5036,118719.03636
112,2686.365,192118.5135
113,2686.8995999999997,290803.95791999996
114,2688.4539,228113.95561000003
115,2691.4437000000003,119130.36660000001
116,2691.4635,109406.63195000001
117,2691.4536,279750.77463999996
118,2691.8001,103185.6705
119,2690.3646,378789.74798
120,2690.8596,110643.25428
121,2690.4636,600198.94692
122,2690.2952999999998,317669.52553
123,2690.8100999999997,110668.39882999999
124,2689.4637000000002,337932.47222000005
125,2688.9291000000003,326286.60779000004
126,2689.3053,212006.90115
127,2689.4439,178266.66481
128,2691.0774,104220.80666000002
129,2692.1862,150354.5202
130,2692.2456,164830.69728000002
131,2692.1763,103444.8348
132,2690.2160999999996,208967.291
133,2691.0575999999996,149051.97216
134,2691.1764000000003,143572.90176
135,2691.2259,185248.76786
136,2691.8694,106801.95774000001
137,2690.325,101601.89
138,2690.5625999999997,436466.32625999994
139,2690.6220000000003,183470.52460000003
140,2691.5031,109859.54421
141,2690.2358999999997,125082.3823
142,2690.9883,331945.63857
143,2690.1765,351948.45465
144,2692.8693000000003,149998.26015000002
145,2692.9287,127696.50285
146,2693.1861,124281.01715
147,2696.661,101892.9273
148,2697.75,202423.90000000002
149,2698.9281,118087.64604
150,2698.0371,259453.05857999998
151,2696.3442,174747.61638
152,2692.3446,190770.29192
153,2691.1070999999997,2501471.03473
154,2691.7803,161843.97027999998
155,2691.2556,110751.96404
156,2690.8299,128730.38962000002
157,2690.1567,101340.10501999999
158,2692.8,116475.84000000001
159,2691.4833,290750.88182
160,2694.1068,151000.60416000002
161,2695.1661,129716.43872
162,2696.3442,137630.66814
163,2698.6212,102321.35756
164,2699.1657,101853.97193999999
165,2699.2250999999997,262083.85124999998
166,2698.9974,110770.67006
